id,race,name,w,m,o,s,c,g,gold,lv,exp,a,d,minDmg,maxDmg,h,speed,canShot,NoofShot,IsUnlimitedShot,NoOfRetailate,IsUnlimitRetaliate,noOfAttack,moveType,handToHandPenalty,isbig,slotImg,desc
1,1,Pikeman,0,0,0,0,0,0,60,1,10,4,5,1,3,10,4,0,0,0,1,0,1,1,0,0,CPrL000C.bmp,
2,1,Halberdier,0,0,0,0,0,0,75,1,10,5,5,2,3,10,5,0,0,0,1,0,1,1,0,0,CPrL001C.bmp,
3,1,Archer,0,0,0,0,0,0,100,2,10,6,3,2,3,10,4,1,12,0,1,0,1,1,1,0,CPrL002C.bmp,
4,1,Marksman,0,0,0,0,0,0,150,2,10,6,5,2,3,10,6,1,24,0,1,0,2,1,1,0,CPrL003C.bmp,
5,1,Giffin,0,0,0,0,0,0,200,3,25,8,8,3,6,25,6,0,0,0,2,0,1,2,0,1,CPrL004C.bmp,
6,1,Royal Giffin,0,0,0,0,0,0,240,3,25,9,9,3,6,25,9,0,0,0,2,1,1,2,0,1,CPrL005C.bmp,
7,1,Swordsman,0,0,0,0,0,0,300,4,35,10,12,6,9,35,5,0,0,0,1,0,1,1,0,0,CPrL006C.bmp,
8,1,Crusader,0,0,0,0,0,0,400,4,35,12,12,7,10,35,6,0,0,0,1,0,2,1,0,0,CPrL007C.bmp,
9,1,Monk,0,0,0,0,0,0,400,5,30,12,7,10,12,30,5,1,12,0,1,0,1,1,1,0,CPrL008C.bmp,
10,1,Zealot,0,0,0,0,0,0,450,5,30,12,10,10,12,30,7,1,12,0,1,0,1,1,0,0,CPrL009C.bmp,
11,1,Cavalier,0,0,0,0,0,0,1000,6,100,15,15,15,25,100,7,0,0,0,1,0,1,1,0,1,CPrL010C.bmp,
12,1,Champion,0,0,0,0,0,0,1200,6,100,16,16,20,25,100,9,0,0,0,1,0,1,1,0,1,CPrL011C.bmp,
13,1,Angel,0,0,0,0,0,1,3000,7,200,20,20,50,50,200,12,0,0,0,1,0,1,2,0,0,CPrL012C.bmp,
14,1,Archangel,0,0,0,0,0,3,5000,7,250,30,30,50,50,250,18,0,0,0,1,0,1,2,0,0,CPrL013C.bmp,
15,2,Centaur,0,0,0,0,0,0,70,1,10,5,3,2,3,8,6,0,0,0,1,0,1,1,0,1,,
16,2,Centaur Captain,0,0,0,0,0,0,90,1,10,6,3,2,3,10,8,0,0,0,1,0,1,1,0,1,,
17,2,Dwarf,0,0,0,0,0,0,120,2,10,6,7,2,4,20,3,0,0,0,1,0,1,1,0,0,,
18,2,Battle Dwarf,0,0,0,0,0,0,150,2,10,7,7,2,4,20,5,0,0,0,1,0,1,1,0,0,,
19,2,Wood Elf,0,0,0,0,0,0,200,3,10,9,5,3,5,15,6,1,12,0,1,0,1,1,1,0,,
20,2,Grand Elf,0,0,0,0,0,0,225,3,10,9,5,3,5,15,7,1,24,0,1,0,2,1,1,0,,
21,2,Pegasus,0,0,0,0,0,0,250,4,25,9,8,5,9,30,8,0,0,0,1,0,1,2,0,1,,
22,2,Silver Pegasus,0,0,0,0,0,0,275,4,25,9,10,5,9,30,12,0,0,0,1,0,1,2,0,1,,
23,2,Dendroid Guard,0,0,0,0,0,0,350,5,35,9,12,10,14,55,3,0,0,0,1,0,1,1,0,0,,
24,2,Dendroid Soldier,0,0,0,0,0,0,425,5,35,9,12,10,14,65,4,0,0,0,1,0,1,1,0,0,,
25,2,Unicorn,0,0,0,0,0,0,850,6,100,15,14,18,22,90,7,0,0,0,1,0,1,1,0,1,,
26,2,War Unicorn,0,0,0,0,0,0,950,6,100,15,14,18,22,110,9,0,0,0,1,0,1,1,0,1,,
27,2,Green Dragon,0,0,0,0,1,0,2400,7,200,18,18,40,50,180,10,0,0,0,1,0,1,2,0,1,,
28,2,Gold Dragon,0,0,0,0,2,0,4000,7,200,27,27,40,50,250,16,0,0,0,1,0,1,2,0,1,,
1000,0,Faerie Dragon,0,0,0,14,0,0,12000,8,5000,30,30,50,50,750,13,0,0,0,1,0,1,2,0,1,CPrL013C.bmp,
1001,0,Rust Dragon,0,0,0,14,0,0,12000,10,5000,30,30,50,50,750,13,0,0,0,1,0,1,2,0,1,CPrL013C.bmp,
1002,0,Crystal Dragon,0,0,0,0,10,0,20000,10,8000,40,40,60,75,800,16,0,0,0,1,0,1,1,0,1,CPrL013C.bmp,
1003,0,Azura Dragon,0,20,0,0,0,0,30000,10,10000,50,50,70,80,1000,19,0,0,0,1,0,1,2,0,1,CPrL013C.bmp,
