id,name,part,rank,a,d,p,k,skillId,effect,dur,speed,morale,luck,life,w,m,o,s,c,g,gold,img,desc
1,Armageddon's Blade,1,4,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt129.png,
2,Blackshard of the Dead Knight,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt003.png,
3,Centaur's Axe,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt002.png,
4,Greater Gnoll's Flail,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt004.png,
5,Ogre's Club of Havoc,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt005.png,
6,Red Dragon Flame Tongue,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt033.png,
7,Sword of Judgement,1,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt030.png,
8,Sword of Hellfire,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt006.png,
9,Titan's Gladius,1,4,12,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt007.png,
10,Buckler of the Gnoll King,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt010.png,
11,Dragon Scale Shield,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt034.png,
12,Lion's Shield of Courage,2,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt029.png,
13,Sentinel's Shield,2,4,-3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt013.png,
14,Shield of the Damned,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt012.png,
15,Shield of the Dwarven Lords,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt008.png,
16,Shield of the Yawning Dead,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt009.png,
17,Targ of the Rampaging Ogre,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt011.png,
18,Armor of Wonder,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt026.png,
19,Breastplate of Petrified Wood,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt020.png,
20,Brimstone Breastplate,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt024.png,
21,Dragon Scale Armor,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt035.png,
22,Rib Cage,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt021.png,
23,Scales of the Greater Basilisk,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt022.png,
24,Titan's Cuirass,3,4,0,0,10,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt025.png,
25,Tunic of the Cyclops King,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt023.png,
26,Crown of Dragontooth,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt039.png,
27,Crown of Supreme Magi,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt017.png,
28,Hellstrom Helmet,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt018.png,
29,Helm of Chaos,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt016.png,
30,Helm of Heavenly Enlightenment,4,4,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt031.png,
31,Helm of the Alabaster Unicorn,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt014.png,
32,Sea Captain's Hat,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HrArt118.png,
