Id,raceId,name,w,m,o,s,c,g,gold,isdwelling,growth,hordeId,genw,genm,geno,gens,genc,geng,genGold,imgFile,x,y,drawOrder,desc
1,0,Village Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,VillageHall.png,0,220,2,
2,0,Town Hall,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,1000,TownHall.png,10,172,2,
3,0,City Hall,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,2000,CityHallOut.png,12,164,2,
4,0,Capitol,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,4000,CapitalOut.png,12,154,2,
5,0,Fort,20,0,20,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,Fort.png,594,66,0,
6,0,Citadel,0,0,5,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,Citadel.png,477,66,0,
7,0,Castle,10,0,10,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,CastleOut.png,477,37,0,
8,0,Tavern,5,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,BasicTavern.png,1,232,3,
9,0,Blacksmith,5,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,Blacksmith.png,215,250,0,
10,0,Marketplace,5,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,Marketplace.png,413,263,1,
11,0,ResourceSilo,0,0,5,0,0,0,5000,0,0,0,1,0,1,0,0,0,0,Silo.png,487,226,0,
12,0,MageGuildLevel1,5,0,5,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,MageGuildLevel1.png,705,160,1,
13,0,MageGuildLevel2,5,4,5,4,4,4,1000,0,0,0,0,0,0,0,0,0,0,Mage2.png,705,129,1,
14,0,MageGuildLevel3,5,6,5,6,6,6,1000,0,0,0,0,0,0,0,0,0,0,Mage3.png,702,101,1,
15,0,MageGuildLevel4,5,8,5,8,8,8,1000,0,0,0,0,0,0,0,0,0,0,Mage4.png,702,70,1,
16,0,MageGuildLevel5,5,10,5,10,10,10,1000,0,0,0,0,0,0,0,0,0,0,,0,0,1,
17,0,Shipyard,20,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,Shipyard.png,477,133,1,
18,1,Brotherhood of the Sword,5,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,Tavern.png,0,205,3,
19,1,Stables,20,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,Stable.png,385,193,0,
20,1,Guardhouse,0,0,10,0,0,0,500,1,14,0,0,0,0,0,0,0,0,GuardHouse.png,305,90,0,
21,1,Archers' Tower,5,0,5,0,0,0,1000,1,9,0,0,0,0,0,0,0,0,ArcherTower.png,360,130,0,
22,1,Griffin Tower,0,0,5,0,0,0,1000,1,7,24,0,0,0,0,0,0,0,GriffinTower.png,74,55,0,
23,1,Barracks,0,0,5,0,0,0,2000,1,4,0,0,0,0,0,0,0,0,Barracks.png,176,100,0,
24,1,Griffin Bastion,0,0,0,0,0,0,1000,0,3,0,0,0,0,0,0,0,0,GriffinBastion.png,74,55,0,
25,1,Monastery,5,2,5,2,2,2,3000,1,3,0,0,0,0,0,0,0,0,Monastery.png,564,210,2,
26,1,Training Grounds,20,0,0,0,0,0,5000,1,2,0,0,0,0,0,0,0,0,TrainingGround.png,175,190,1,
27,1,Portal of Glory,0,10,0,10,10,10,20000,1,1,0,0,0,0,0,0,0,0,PortalOfGlory.png,300,0,0,
28,1,Upg. Guardhouse,0,0,5,0,0,0,1000,1,14,0,0,0,0,0,0,0,0,GuardhouseUpg2.png,305,65,0,
29,1,Upg. Archers' Tower,5,0,5,0,0,0,1000,1,9,0,0,0,0,0,0,0,0,ArcherTowerUpg2.png,360,115,0,
30,1,Upg. Griffin Tower,0,0,5,0,0,0,1000,1,7,24,0,0,0,0,0,0,0,GriffinTowerUpg2.png,74,55,0,
31,1,Upg. Barracks,0,0,5,5,0,0,2000,1,4,0,0,0,0,0,0,0,0,BarracksUpg2.png,176,100,0,
32,1,Upg. Monastery,2,2,2,2,2,2,1000,1,3,0,0,0,0,0,0,0,0,Monastery2.png,564,172,2,
33,1,Upg. Training Grounds,10,0,0,0,0,0,3000,1,2,0,0,0,0,0,0,0,0,TrainingGroundUpg2.png,175,190,1,
34,1,Upg. Portal of Glory,0,10,0,10,10,10,20000,1,1,0,0,0,0,0,0,0,0,PortalofGloryUpg2.png,300,0,0,
35,1,Ship,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ship.png,477,132,2,
36,1,Lighthouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lighthouse22.png,532,72,0,
37,1,Colossus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
