id,name,eleType,level,battle,cost,dur,baseDmg,Dmg1,Dmg2,Dmg3,isAllAtLevel3,isSummon,isMissile,isHit,ally,isDamage,bookFileName,desc
1,Haste,1,1,1,6,1,0,3,5,5,1,0,0,0,1,0,Sp52Wind.png,
2,View Air,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,,
3,Magic Arrow,1,1,1,5,0,10,10,20,30,0,0,1,1,2,1,Sp16MBlt.png,
4,Disguise,1,2,2,4,1,0,0,0,0,0,0,0,0,0,0,,
5,Disrupting Ray,1,2,1,10,0,0,-3,-4,-5,0,0,0,2,0,0,,
6,Fortune,1,2,1,7,1,0,1,2,2,1,0,0,1,0,0,,
7,Lightning Bolt,1,2,1,10,0,25,10,20,50,0,0,0,1,2,1,Sp18LBlt.png,
8,Precision,1,2,1,8,1,0,3,6,6,1,0,0,1,0,0,,
9,Vision,1,2,2,4,1,0,0,0,0,0,0,0,0,0,0,,
10,Air Shield,1,3,1,12,1,0,-25,-50,-50,1,0,0,1,0,0,,
11,Destroy Undead,1,3,1,15,0,10,10,20,50,0,0,0,1,2,1,,
12,Protection from Air,1,3,1,5,1,0,-30,-50,-50,1,0,0,1,0,0,,
13,Hypnotize,1,3,1,18,0,25,10,20,50,0,0,0,2,0,0,,
14,Chain Lightning,1,4,1,24,0,40,25,50,100,0,0,1,1,2,1,,
15,Counterstrike,1,4,1,24,1,0,1,2,2,1,0,0,1,0,0,,
16,Dimension Door,1,5,2,25,0,0,0,0,0,0,0,0,0,0,0,,
17,Fly,1,5,2,20,1,0,60,80,100,0,0,0,0,0,0,,
18,Magic Mirror,1,5,1,25,1,0,20,30,40,0,0,0,1,0,0,,
19,Summon Air Elemental,1,5,1,25,0,0,2,3,4,0,1,0,0,0,0,,
20,Bloodlust,2,1,1,5,1,0,3,6,6,1,0,0,0,1,0,Sp44Lust.png,
21,Curse,2,1,1,6,1,0,0,-80,-80,1,0,0,0,2,0,,
22,Blind,2,2,1,10,1,0,50,25,0,0,0,0,0,2,0,,
23,Fire Wall,2,2,1,8,2,10,10,20,30,0,0,0,0,2,1,,
24,Fire Ball,2,3,1,15,0,10,15,30,60,0,0,0,0,2,1,Sp22Spon.png,
25,Land Mine,2,3,1,18,0,10,25,50,100,0,0,0,0,2,1,,
26,Misfortune,2,3,1,12,1,0,-1,-2,-2,1,0,0,0,2,0,,
27,Armageddon,2,4,1,24,0,50,30,60,120,0,0,0,1,2,1,Sp27FStr.png,
28,Berzerk,2,4,1,20,1,0,1,7,19,0,0,0,0,2,0,,
29,Fire Shield,2,4,1,16,1,0,20,25,30,0,0,0,0,1,0,,
30,Frenzy,2,4,1,16,0,0,100,150,200,0,0,0,0,1,0,,
31,Inferno,2,4,1,16,0,10,20,40,80,0,0,0,0,2,1,Sp23FrBl.png,
32,Slayer,2,4,1,16,1,0,0,8,8,8,0,0,0,1,0,,
33,Sacrifice,2,5,1,25,0,0,3,6,10,0,0,0,0,1,0,,
34,Summon Fire Elemental,2,5,1,25,0,0,0,0,0,0,1,0,0,0,0,,
35,Shield,3,1,1,5,1,0,15,30,30,1,0,0,0,1,0,,
36,Slow,3,1,1,6,1,0,25,50,50,1,0,0,0,2,0,,
37,Stoneskin,3,1,1,5,1,0,3,6,6,1,0,0,0,1,0,,
38,View Earth,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,,
39,Death Ripple,3,2,1,20,0,5,10,20,30,0,0,0,1,2,1,,
40,Protection from Earth,3,2,1,5,1,0,-30,-50,-50,1,0,0,0,1,0,,
41,Quicksand,3,2,1,8,0,0,4,6,8,0,0,0,0,0,0,,
42,Animate Dead,3,3,1,15,0,0,0,0,0,0,0,0,0,1,0,,
43,Anti Magic,3,3,1,15,0,0,0,0,0,0,0,0,0,1,0,,
44,Earthquake,3,3,1,15,0,0,0,0,0,0,0,0,0,1,0,,
45,Force Field,3,3,1,15,0,0,0,0,0,0,0,0,0,1,0,,
46,Meteor Shower,3,4,1,16,0,25,25,50,100,0,0,0,0,2,1,Sp24Metr.png,
47,Resurrection,3,4,1,15,0,0,0,0,0,0,0,0,0,1,0,,
48,Sorrow,3,4,1,15,0,0,0,0,0,0,0,0,0,1,0,,
49,Town Portal,3,4,2,15,0,0,0,0,0,0,0,0,0,1,0,,
50,Implosion,3,5,1,30,0,75,100,200,300,0,0,0,0,2,1,Sp19Deca.png,
51,Summon Earth Elemental,3,5,1,25,0,0,0,0,0,0,1,0,0,0,0,,
52,Bless,4,1,1,5,1,0,0,0,0,1,0,0,0,1,0,,
53,Cure,4,1,1,5,1,0,0,0,0,1,0,0,0,1,0,,
54,Dispel,4,1,1,5,1,0,0,0,0,1,0,0,0,1,0,,
55,Protection From Water,4,1,1,5,1,0,0,0,0,1,0,0,0,1,0,,
56,Summon Boat,4,1,2,5,1,0,0,0,0,1,0,0,0,1,0,,
57,Ice Bolt,4,2,1,8,0,20,10,20,50,0,0,1,1,2,1,Sp17IRay.png,
58,Remove Obstacle,4,2,1,5,1,0,0,0,0,1,0,0,0,1,0,,
59,Scuttle Boat,4,2,2,5,1,0,0,0,0,1,0,0,0,1,0,,
60,Weakness,4,2,1,5,1,0,0,0,0,1,0,0,0,1,0,,
61,Forgetfulness,4,3,1,5,1,0,0,0,0,1,0,0,0,1,0,,
62,Frost Ring,4,3,1,5,1,0,0,0,0,1,0,0,1,1,0,,
63,Mirth,4,3,1,5,1,0,0,0,0,1,0,0,0,1,0,,
